Result,WhiteElo,BlackElo,Event_enc,ECO_enc,Termination_enc,TimeControl_enc
2,1750,1785,3,244,0,0
3,1967,1989,3,483,0,0
1,1500,1297,3,213,0,0
2,1579,1648,3,0,0,0
2,1677,1444,3,300,0,0
2,1640,1741,3,454,1,0
1,1741,1640,3,101,1,0
2,2045,1741,3,50,0,0
1,2124,1500,3,225,1,0
1,1938,1820,3,30,0,0
1,1550,1386,3,100,0,0
1,1785,1937,3,152,1,0
3,2076,1967,3,353,0,0
1,1722,1524,3,101,0,0
1,2023,2076,3,119,0,0
1,1516,1530,3,100,0,0
2,1409,1396,3,257,0,0
2,1667,1396,3,0,0,0
2,1405,1466,3,120,0,0
1,1801,1785,3,255,0,0
1,1967,1959,3,205,0,0
2,1469,1654,3,100,0,0
2,1531,1448,3,122,1,0
1,1644,1619,3,6,0,0
2,1644,1500,3,6,0,0
1,1959,1789,3,302,0,0
2,1789,1520,3,45,0,0
2,1581,1732,3,101,0,0
1,1662,1461,3,300,0,0
2,1520,1396,3,241,0,0
2,1393,1945,3,40,1,0
2,1700,1938,3,194,1,0
2,1393,2015,3,4,1,0
2,2071,1857,3,133,0,0
2,1641,1394,3,0,0,0
1,1733,1500,3,45,0,0
1,1396,1500,3,220,0,0
3,2084,2348,3,210,0,0
2,1512,1520,3,302,0,0
2,1820,2060,3,220,1,0
2,1396,1888,3,120,1,0
1,1894,1769,3,40,0,0
1,2290,2100,3,306,0,0
2,1454,1670,3,40,0,0
1,1421,1530,3,100,0,0
2,1687,1619,3,240,0,0
1,1509,1436,3,4,0,0
2,1415,1623,3,0,0,0
1,1500,1715,3,6,1,0
1,1654,1619,3,321,0,0
1,1628,1409,3,0,0,0
2,1427,1522,3,100,0,0
1,1655,1610,3,120,0,0
1,1386,1579,3,244,0,0
1,1944,1393,3,154,1,0
1,1649,1816,3,255,0,0
2,1941,1500,3,0,0,0
3,1535,1419,3,0,0,0
2,1500,1500,3,107,0,0
2,1371,1710,3,0,0,0
2,1793,1883,3,106,0,0
2,1793,1901,3,345,0,0
1,1677,1447,3,300,0,0
2,1500,1500,3,107,0,0
1,1883,1768,3,257,0,0
2,1793,1937,3,202,0,0
1,1500,1500,3,4,1,0
1,1500,1500,3,118,0,0
1,1790,1688,3,226,0,0
2,1500,1500,3,41,1,0
1,1500,1500,3,4,0,0
1,1500,1500,3,4,1,0
2,1441,1683,3,4,0,0
2,1500,1500,3,4,0,0
1,1624,1603,3,300,0,0
2,1500,1500,3,107,0,0
2,1404,1774,3,300,1,0
1,1578,1508,3,0,0,0
2,1500,1500,3,220,0,0
1,1500,1144,3,4,1,0
2,1731,1500,3,106,0,0
1,1708,1635,3,220,0,0
2,1689,1435,3,301,0,0
1,1667,1343,3,107,0,0
2,1967,2226,3,434,0,0
1,1343,1677,3,201,0,0
1,1630,1376,3,255,0,0
2,1652,1386,3,220,0,0
1,1500,1673,3,6,1,0
2,1673,1500,3,41,1,0
1,1694,1428,3,0,0,0
1,1722,1622,3,200,0,0
1,2294,2226,3,409,0,0
2,1851,1667,3,245,0,0
1,1851,1500,3,190,1,0
1,1714,1500,3,241,1,0
2,1513,1641,3,300,0,0
2,1768,1851,3,427,0,0
2,1731,1586,3,246,0,0
2,1460,1667,3,302,0,0
2,1528,1591,3,269,1,0
1,1423,1530,3,100,0,0
2,1591,1568,3,240,0,0
1,1674,1453,3,300,0,0
3,2226,2304,3,241,0,0
3,2226,2140,3,194,0,0
2,2045,2047,3,257,0,0
1,1447,1552,3,244,0,0
2,1500,2071,3,57,0,0
1,1663,1425,3,123,0,0
1,1447,1680,3,240,0,0
1,1511,1438,3,4,0,0
2,1654,1610,3,306,1,0
1,1785,1500,3,40,1,0
1,1429,1523,3,100,0,0
1,1500,1255,3,226,0,0
1,1785,1500,3,409,1,0
1,1824,1573,3,100,0,0
2,1344,1727,3,40,0,0
1,1659,1470,3,300,0,0
1,1785,1500,3,320,0,0
1,1571,1222,3,225,0,0
3,1647,1335,3,100,0,0
1,1806,1768,3,140,1,0
2,1512,1522,3,101,0,0
2,1417,1672,3,242,0,0
2,1505,1444,3,4,0,0
2,1500,1870,3,473,1,0
3,1979,1967,3,268,0,0
2,1457,1489,3,100,0,0
2,1552,1483,3,300,0,0
2,1632,1610,3,0,1,0
2,2045,1878,3,4,0,0
1,1502,1448,3,242,0,0
2,1442,1723,3,300,0,0
2,1500,1788,3,45,1,0
2,1437,1642,3,0,0,0
1,2256,1916,3,112,1,0
1,1202,1596,3,220,0,0
1,1500,1500,3,220,0,0
1,1694,1610,3,140,0,0
2,1911,1967,3,13,0,0
1,1439,1514,3,100,0,0
1,1755,1789,3,242,0,0
2,1463,1666,3,227,0,0
2,1427,2063,3,101,0,0
1,1673,1456,3,300,0,0
2,1805,1768,3,45,1,0
1,2282,2183,3,302,0,0
1,1298,1777,3,21,1,0
1,1450,1680,3,223,0,0
2,1802,2104,3,120,0,0
1,1803,1802,3,20,0,0
2,1432,1482,3,244,0,0
1,1456,1500,3,102,0,0
1,1298,1863,3,241,0,0
2,1463,1625,3,1,1,0
2,1349,1890,3,0,0,0
2,1802,1298,3,120,0,0
1,2294,2237,3,302,1,0
1,1573,1253,3,40,0,0
2,1449,1626,3,1,0,0
2,1826,1739,3,120,0,0
2,1500,1623,3,123,1,0
1,1658,1398,3,224,0,0
1,1379,1678,3,300,0,0
2,1663,1293,3,210,1,0
2,2150,2074,3,375,0,0
1,2074,1967,3,292,0,0
2,2237,2022,3,127,1,0
2,1500,2191,3,0,0,0
2,1293,1772,3,301,1,0
1,1500,1486,3,260,0,0
1,1607,1456,3,301,0,0
1,1634,1404,3,0,0,0
2,1500,1500,3,220,0,0
2,1398,1639,3,40,0,0
2,1565,1460,3,200,0,0
2,1644,1393,3,0,0,0
1,1667,1343,3,100,0,0
2,1945,1460,3,202,0,0
2,1546,1549,3,43,0,0
1,1945,1393,3,120,1,0
